,url,destination,forward,utm_campaign,utm_source,utm_medium,agency,count
0,https://www.westchesterhealth.com/locations/mamaroneck/1600-harrison-avenue,(914) 777-1179,(914) 777-1179,wha_allergy,google,cpc,sound_westchester,2
1,https://www.westchesterhealth.com/locations/mamaroneck/1600-harrison-avenue,(914) 777-1179,(914) 777-1179,wha_allergy,google,cpc,tinuiti,2
2,https://www.northwell.edu/find-care/find-a-doctor/cardiology/dr-brian-ming-yuen-md-11381785,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
3,https://www.northwell.edu/find-care/find-a-doctor/cardiology/dr-brian-ming-yuen-md-11381785,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
4,https://www.northwell.edu/find-care/find-a-doctor/cardiology/dr-robert-justin-faigen-md-11381803,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
5,https://www.northwell.edu/find-care/find-a-doctor/cardiology/dr-robert-justin-faigen-md-11381803,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
6,https://www.northwell.edu/nassauprimarycare,(516) 472-3132,(516) 472-3132,south_nassau_2021,google,cpc,horizon,2
7,https://www.northwell.edu/nassauprimarycare,(516) 472-3132,(516) 472-3132,south_nassau_2021,google,cpc,horizon,2
8,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,google,cpc,austinwilliams,4
9,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,google,cpc,austinwilliams,4
10,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,google,cpc,austinwilliams,4
11,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,google,cpc,austinwilliams,4
12,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,google,cpc,austinwilliams,4
13,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,google,cpc,austinwilliams,4
14,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,google,cpc,austinwilliams,4
15,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,google,cpc,austinwilliams,4
16,https://ssuh.northwell.edu/obgyn,(631) 968-3000,(631) 968-3000,ssuh_2021,google,cpc,austinwilliams,2
17,https://ssuh.northwell.edu/obgyn,(631) 968-3000,(631) 968-3000,ssuh_2021,google,cpc,austinwilliams,2
18,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,google,cpc,austinwilliams,2
19,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,google,cpc,austinwilliams,2
20,https://www.northwell.edu/find-care/find-a-doctor/family-medicine/dr-matthew-jay-reifler-do-11381593,(516) 200-7400,(516) 200-7400,south_nassau_2021,google,cpc,horizon,2
21,https://www.northwell.edu/find-care/find-a-doctor/family-medicine/dr-matthew-jay-reifler-do-11381593,(516) 200-7400,(516) 200-7400,south_nassau_2021,google,cpc,horizon,2
22,https://www.northwell.edu/find-care/find-a-doctor/family-medicine/dr-sarah-marie-spadafina-md-11508210,(516) 200-7400,(516) 200-7400,south_nassau_2021,google,cpc,horizon,2
23,https://www.northwell.edu/find-care/find-a-doctor/family-medicine/dr-sarah-marie-spadafina-md-11508210,(516) 200-7400,(516) 200-7400,south_nassau_2021,google,cpc,horizon,2
24,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-shital-rana-do-11381432,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
25,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-shital-rana-do-11381432,(516) 377-2820,(516) 377-2820,south_nassau_2021,google,cpc,horizon,2
26,https://www.northwell.edu/nassauheart,(516) 472-3132,(516) 472-3132,south_nassau_2021,google,cpc,horizon,2
27,https://www.northwell.edu/nassauheart,(516) 472-3132,(516) 472-3132,south_nassau_2021,google,cpc,horizon,2
28,https://www.northwell.edu/doctors-offices/northwell-health-physician-partners-orthopaedic-institute-at-richmond-road,(718) 727-6945,(718) 727-6945,siuh_ortho_2021,google,cpc,horizon,2
29,https://www.northwell.edu/doctors-offices/northwell-health-physician-partners-orthopaedic-institute-at-richmond-road,(718) 727-6945,(718) 727-6945,siuh_ortho_2021,google,cpc,horizon,2
30,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,phunware,display,austinwilliams,2
31,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,phunware,display,austinwilliams,2
32,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,pandora,display,austinwilliams,2
33,https://ssuh.northwell.edu,(631) 968-3000,(631) 968-3000,ssuh_2021,pandora,display,austinwilliams,2
34,https://ssuh.northwell.edu/south-shore-heart-lung,(855) HEART-11,(855) HEART-11,ssuh_2021,aidigital,display,austinwilliams,2
35,https://ssuh.northwell.edu/south-shore-heart-lung,(855) HEART-11,(855) HEART-11,ssuh_2021,aidigital,display,austinwilliams,2
36,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,aidigital,display,austinwilliams,2
37,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,aidigital,display,austinwilliams,2
38,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,aidigital,display,austinwilliams,2
39,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,aidigital,display,austinwilliams,2
40,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,facebook,paid_social,austinwilliams,2
41,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 666-4767,(631) 666-4767,ssuh_2021,facebook,paid_social,austinwilliams,2
42,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,facebook,paid_social,austinwilliams,2
43,https://ssuh.northwell.edu/linda-and-john-bohlsen-neurosciences-center,(631) 591-7470,(631) 591-7470,ssuh_2021,facebook,paid_social,austinwilliams,2
44,https://ssuh.northwell.edu/south-shore-heart-lung,(855) HEART-11,(855) HEART-11,ssuh_2021,facebook,paid_social,austinwilliams,2
45,https://ssuh.northwell.edu/south-shore-heart-lung,(855) HEART-11,(855) HEART-11,ssuh_2021,facebook,paid_social,austinwilliams,2
46,https://www.northwell.edu/obstetrics-and-gynecology/fertility/find-care/locations/northwell-health-fertility-of-new-york-city,(212) 324-2229,(212) 324-2229,fertility_2021,google,cpc,horizon,2
47,https://www.northwell.edu/obstetrics-and-gynecology/fertility/find-care/locations/northwell-health-fertility-of-new-york-city,(212) 324-2229,(212) 324-2229,fertility_2021,google,cpc,horizon,2
48,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-louis-potters-md-11317906,(855) 927-6622,(516) 321-3180,prostate_radiation_2021,healthline,display,horizon,2
49,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-louis-potters-md-11317906,(855) 927-6622,(516) 321-3180,prostate_radiation_2021,healthline,display,horizon,2
50,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-louis-potters-md-11317906,(855) 927-6622,(516) 321-3180,prostate_radiation_2021,webmd,display,horizon,2
51,https://www.northwell.edu/find-care/find-a-doctor/internal-medicine/dr-louis-potters-md-11317906,(855) 927-6622,(516) 321-3180,prostate_radiation_2021,webmd,display,horizon,2
52,https://www.northwell.edu/cardiovascular-thoracic-services/find-care/locations/cardiology-babylon,(631) 422-1900,(631) 422-1900,cardiac_hyperlocal,google,cpc,horizon,2
53,https://www.northwell.edu/cardiovascular-thoracic-services/find-care/locations/cardiology-babylon,(631) 422-1900,(631) 422-1900,cardiac_hyperlocal,google,cpc,horizon,2
54,https://www.northwell.edu/doctors-offices/northwell-health-physician-partners-cardiology-and-medicine-specialties-at-new-hyde-park,(516) 224-2400,(516) 224-2400,cardiac_hyperlocal,google,cpc,horizon,2
55,https://www.northwell.edu/doctors-offices/northwell-health-physician-partners-cardiology-and-medicine-specialties-at-new-hyde-park,(516) 224-2400,(516) 224-2400,cardiac_hyperlocal,google,cpc,horizon,2
56,https://www.northwell.edu/cardiovascular-thoracic-services/find-care/locations/cardiology-bay-shore,(631) 591-7400,(631) 591-7400,cardiac_hyperlocal,google,cpc,horizon,2
57,https://www.northwell.edu/cardiovascular-thoracic-services/find-care/locations/cardiology-bay-shore,(631) 591-7400,(631) 591-7400,cardiac_hyperlocal,google,cpc,horizon,2
58,https://www.northwell.edu/doctors-offices/northwell-health-physician-partners-cardiology-at-brightwaters,(631) 894-5600,(631) 894-5600,cardiac_hyperlocal,google,cpc,horizon,2
